Year,Element,Area,Area Code (M49),Element Code,Year Code,Value
1961,Export Quantity,Ireland,372.0,5910.0,1961.0,2326.2903225806454
1962,Export Quantity,Finland,246.0,5910.0,1962.0,655.6186770428016
1962,Export Quantity,Ireland,372.0,5910.0,1962.0,2087.516129032258
1963,Export Quantity,Finland,246.0,5910.0,1963.0,527.7509727626459
1963,Export Quantity,Ireland,372.0,5910.0,1963.0,2468.990322580645
1964,Export Quantity,Finland,246.0,5910.0,1964.0,458.3112840466926
1964,Export Quantity,Ireland,372.0,5910.0,1964.0,1941.0967741935483
1965,Export Quantity,Finland,246.0,5910.0,1965.0,409.53307392996106
1965,Export Quantity,Ireland,372.0,5910.0,1965.0,1904.3451612903225
1966,Export Quantity,Finland,246.0,5910.0,1966.0,657.3618677042801
1966,Export Quantity,Ireland,372.0,5910.0,1966.0,2017.0677419354838
1967,Export Quantity,Finland,246.0,5910.0,1967.0,599.8910505836576
1967,Export Quantity,Ireland,372.0,5910.0,1967.0,2410.2741935483873
1968,Export Quantity,Finland,246.0,5910.0,1968.0,659.6770428015565
1968,Export Quantity,Ireland,372.0,5910.0,1968.0,2481.3290322580647
1969,Export Quantity,Finland,246.0,5910.0,1969.0,1221.9338521400778
1969,Export Quantity,Ireland,372.0,5910.0,1969.0,2535.2645161290325
1970,Export Quantity,Finland,246.0,5910.0,1970.0,1536.7665369649806
1970,Export Quantity,Ireland,372.0,5910.0,1970.0,2700.567741935484
1971,Export Quantity,Finland,246.0,5910.0,1971.0,1436.0155642023346
1971,Export Quantity,Ireland,372.0,5910.0,1971.0,2882.641935483871
1972,Export Quantity,Finland,246.0,5910.0,1972.0,2275.5836575875487
1972,Export Quantity,Ireland,372.0,5910.0,1972.0,2771.064516129032
1973,Export Quantity,Finland,246.0,5910.0,1973.0,1572.9455252918287
1973,Export Quantity,Ireland,372.0,5910.0,1973.0,3288.9193548387098
1974,Export Quantity,Finland,246.0,5910.0,1974.0,1122.941634241245
1974,Export Quantity,Ireland,372.0,5910.0,1974.0,3289.641935483871
1975,Export Quantity,Finland,246.0,5910.0,1975.0,851.3540856031128
1975,Export Quantity,Ireland,372.0,5910.0,1975.0,4134.932258064516
1976,Export Quantity,Finland,246.0,5910.0,1976.0,2124.929961089494
1976,Export Quantity,Ireland,372.0,5910.0,1976.0,4216.432258064516
1977,Export Quantity,Finland,246.0,5910.0,1977.0,3303.6070038910507
1977,Export Quantity,Ireland,372.0,5910.0,1977.0,4397.751612903226
1978,Export Quantity,Finland,246.0,5910.0,1978.0,1410.023346303502
1978,Export Quantity,Ireland,372.0,5910.0,1978.0,5257.783870967742
1979,Export Quantity,Ireland,372.0,5910.0,1979.0,5218.683870967742
1979,Export Quantity,Finland,246.0,5910.0,1979.0,1420.9338521400778
1980,Export Quantity,Finland,246.0,5910.0,1980.0,1377.976653696498
1980,Export Quantity,Ireland,372.0,5910.0,1980.0,5434.051612903226
1981,Export Quantity,Finland,246.0,5910.0,1981.0,1826.4630350194552
1981,Export Quantity,Ireland,372.0,5910.0,1981.0,4440.061290322581
1982,Export Quantity,Finland,246.0,5910.0,1982.0,1445.9221789883268
1982,Export Quantity,Ireland,372.0,5910.0,1982.0,4535.993548387097
1983,Export Quantity,Finland,246.0,5910.0,1983.0,1976.6264591439688
1983,Export Quantity,Ireland,372.0,5910.0,1983.0,4611.183870967742
1984,Export Quantity,Finland,246.0,5910.0,1984.0,4536.299610894942
1984,Export Quantity,Ireland,372.0,5910.0,1984.0,5551.689320388349
1985,Export Quantity,Finland,246.0,5910.0,1985.0,3663.6887159533076
1985,Export Quantity,Ireland,372.0,5910.0,1985.0,6106.770226537217
1986,Export Quantity,Finland,246.0,5910.0,1986.0,3791.081712062257
1986,Export Quantity,Ireland,372.0,5910.0,1986.0,6174.85993485342
1987,Export Quantity,Finland,246.0,5910.0,1987.0,2526.8365758754862
1987,Export Quantity,Ireland,372.0,5910.0,1987.0,7071.491856677524
1988,Export Quantity,Finland,246.0,5910.0,1988.0,1144.2199170124481
1988,Export Quantity,Ireland,372.0,5910.0,1988.0,7520.088235294118
1989,Export Quantity,Finland,246.0,5910.0,1989.0,2716.6721991701243
1989,Export Quantity,Ireland,372.0,5910.0,1989.0,7740.882352941177
1990,Export Quantity,Finland,246.0,5910.0,1990.0,3520.7966804979255
1990,Export Quantity,Ireland,372.0,5910.0,1990.0,7540.640522875817
1991,Export Quantity,Finland,246.0,5910.0,1991.0,6014.264462809917
1991,Export Quantity,Ireland,372.0,5910.0,1991.0,7798.819672131148
1992,Export Quantity,Finland,246.0,5910.0,1992.0,4478.466942148761
1992,Export Quantity,Ireland,372.0,5910.0,1992.0,9508.118032786886
1993,Export Quantity,Finland,246.0,5910.0,1993.0,5391.665289256199
1993,Export Quantity,Ireland,372.0,5910.0,1993.0,8165.25
1993,Export Quantity,Slovakia,703.0,5910.0,1993.0,3736.209401709402
1994,Export Quantity,Finland,246.0,5910.0,1994.0,6849.820717131474
1994,Export Quantity,Ireland,372.0,5910.0,1994.0,8531.217105263158
1994,Export Quantity,Slovakia,703.0,5910.0,1994.0,3242.615969581749
1995,Export Quantity,Finland,246.0,5910.0,1995.0,3535.804347826087
1995,Export Quantity,Ireland,372.0,5910.0,1995.0,9475.04262295082
1995,Export Quantity,Slovakia,703.0,5910.0,1995.0,6135.492424242424
1996,Export Quantity,Ireland,372.0,5910.0,1996.0,8875.39935064935
1996,Export Quantity,Slovakia,703.0,5910.0,1996.0,2794.3956043956046
1996,Export Quantity,Finland,246.0,5910.0,1996.0,3970.8274647887324
1997,Export Quantity,Ireland,372.0,5910.0,1997.0,9476.605177993528
1997,Export Quantity,Finland,246.0,5910.0,1997.0,4896.717770034843
1997,Export Quantity,Slovakia,703.0,5910.0,1997.0,2883.22695035461
1998,Export Quantity,Finland,246.0,5910.0,1998.0,4102.91637630662
1998,Export Quantity,Ireland,372.0,5910.0,1998.0,9606.74358974359
1998,Export Quantity,Slovakia,703.0,5910.0,1998.0,4476.7852112676055
1999,Export Quantity,Slovakia,703.0,5910.0,1999.0,4563.256140350877
1999,Export Quantity,Ireland,372.0,5910.0,1999.0,9421.91054313099
1999,Export Quantity,Finland,246.0,5910.0,1999.0,3338.9477351916375
2000,Export Quantity,Finland,246.0,5910.0,2000.0,3147.927364864865
2000,Export Quantity,Ireland,372.0,5910.0,2000.0,10173.000382165605
2000,Export Quantity,Slovakia,703.0,5910.0,2000.0,3823.568493150685
2001,Export Quantity,Finland,246.0,5910.0,2001.0,4638.003344481605
2001,Export Quantity,Ireland,372.0,5910.0,2001.0,9017.136075949367
2001,Export Quantity,Slovakia,703.0,5910.0,2001.0,3294.3505154639174
2002,Export Quantity,Ireland,372.0,5910.0,2002.0,9229.435736677116
2002,Export Quantity,Finland,246.0,5910.0,2002.0,4224.6822742474915
2002,Export Quantity,Slovakia,703.0,5910.0,2002.0,4147.496575342466
2003,Export Quantity,Ireland,372.0,5910.0,2003.0,9378.191950464396
2003,Export Quantity,Finland,246.0,5910.0,2003.0,4090.6393442622953
2003,Export Quantity,Slovakia,703.0,5910.0,2003.0,4724.251677852349
2004,Export Quantity,Finland,246.0,5910.0,2004.0,3729.685064935065
2004,Export Quantity,Ireland,372.0,5910.0,2004.0,9859.956923076923
2004,Export Quantity,Slovakia,703.0,5910.0,2004.0,4646.064724919094
2005,Export Quantity,Ireland,372.0,5910.0,2005.0,10682.911314984709
2005,Export Quantity,Finland,246.0,5910.0,2005.0,3419.7331189710612
2005,Export Quantity,Slovakia,703.0,5910.0,2005.0,6252.059936908518
2006,Export Quantity,Finland,246.0,5910.0,2006.0,3916.7746031746033
2006,Export Quantity,Ireland,372.0,5910.0,2006.0,11098.842424242424
2006,Export Quantity,Slovakia,703.0,5910.0,2006.0,9064.19749216301
2007,Export Quantity,Slovakia,703.0,5910.0,2007.0,6667.610591900311
2007,Export Quantity,Finland,246.0,5910.0,2007.0,4628.833333333333
2007,Export Quantity,Ireland,372.0,5910.0,2007.0,11002.248484848486
2008,Export Quantity,Finland,246.0,5910.0,2008.0,4393.990384615385
2008,Export Quantity,Ireland,372.0,5910.0,2008.0,10599.536144578313
2008,Export Quantity,Slovakia,703.0,5910.0,2008.0,6530.006134969325
2009,Export Quantity,Ireland,372.0,5910.0,2009.0,10335.951807228916
